balanced 0 test_flag 0
[334] Ep10000: 1857 steps (0.0005 hrs) 20 sec, Max 29919 steps
[335] Ep10000: 1688 steps (0.0005 hrs) 12 sec, Max 29919 steps
[336] Ep10000: 1917 steps (0.0005 hrs) 12 sec, Max 29919 steps
[337] Ep10000: 3612 steps (0.0010 hrs) 19 sec, Max 29919 steps
[338] Ep10000: 2030 steps (0.0006 hrs) 15 sec, Max 29919 steps
[339] Ep10000: 2378 steps (0.0007 hrs) 16 sec, Max 29919 steps
[340] Ep10000: 2279 steps (0.0006 hrs) 18 sec, Max 29919 steps
[341] Ep10000: 2078 steps (0.0006 hrs) 23 sec, Max 29919 steps
[342] Ep10000: 2284 steps (0.0006 hrs) 24 sec, Max 29919 steps
[343] Ep10000: 2423 steps (0.0007 hrs) 24 sec, Max 29919 steps
[344] Ep10000: 1464 steps (0.0004 hrs) 12 sec, Max 29919 steps
[345] Ep10000: 1970 steps (0.0005 hrs) 15 sec, Max 29919 steps
[346] Ep10000: 2233 steps (0.0006 hrs) 10 sec, Max 29919 steps
[347] Ep10000: 4183 steps (0.0012 hrs) 22 sec, Max 29919 steps
